Book_Title,Author,Average Rating,Total Rating,Total Score,People Voted
The Story of Beautiful Girl,Rachel Simon,3.93,26403,"8,262",87
The Zombie Room,R.D. Ronald,3.74,27830,"7,965",90
Paper Towns,John Green,3.73,1247852,"7,947",87
"One Grave at a Time (Night Huntress, #6)",Jeaniene Frost,4.23,47960,"7,900",82
"Abandon (Abandon, #1)",Meg Cabot,3.68,39236,"7,894",86
The Memory Keeper's Daughter,Kim Edwards,3.69,590494,"7,834",87
"Fire (Graceling Realm, #2)",Kristin Cashore,4.1,178873,"7,806",85
"Uncommon Criminals (Heist Society, #2)",Ally Carter,4.13,42631,"7,557",81
"The Death Cure (The Maze Runner, #3)",James Dashner,3.78,415454,"7,541",83
Don't Breathe a Word,Jennifer  McMahon,3.59,15779,"7,476",79
A Thousand Splendid Suns,Khaled Hosseini,4.42,1414556,"7,315",82
The Great Gatsby,F. Scott Fitzgerald,3.93,4791279,"7,282",82
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,883332,"6,503",69
"Chain Reaction (Perfect Chemistry, #3)",Simone Elkeles,4.09,62761,"6,431",69
The Traitor's Emblem,Juan Gómez-Jurado,3.85,3336,"6,338",64
"Graveminder (Graveminder, #1)",Melissa Marr,3.49,12884,"6,004",65
Never Knowing,Chevy Stevens,3.87,24424,"5,819",62
"Hereafter (Hereafter, #1)",Tara Hudson,3.71,16905,"5,768",65
"Witches of East End (The Beauchamp Family, #1)",Melissa de la Cruz,3.53,20447,"5,722",64
Gone Girl,Gillian Flynn,4.12,2849976,"5,684",65
Pride and Prejudice,Jane Austen,4.28,3902191,"5,634",65
Caleb's Crossing,Geraldine Brooks,3.84,64495,"5,574",59
One Flew Over the Cuckoo's Nest,Ken Kesey,4.2,701441,"5,448",63
Jonathan Strange & Mr Norrell,Susanna Clarke,3.85,225818,"5,340",58
"Graceling (Graceling Realm, #1)",Kristin Cashore,4.07,440635,"5,313",59
"Heartless (Parasol Protectorate, #4)",Gail Carriger,4.06,34217,"5,274",55
Imaginary Girls,Nova Ren Suma,3.43,7296,"5,262",59
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.08,1903849,"5,226",58
"Hourglass (Hourglass, #1)",Myra McEntire,3.79,18828,"5,203",59
On Writing: A Memoir of the Craft,Stephen King,4.33,268329,"5,159",57
Fahrenheit 451,Ray Bradbury,3.97,2190588,"5,136",61
"The Warlock (The Secrets of the Immortal Nicholas Flamel, #5)",Michael Scott,4.18,56940,"4,970",53
The Night Circus,Erin Morgenstern,4.03,884812,"4,916",55
